,Id,Name,Genres,Popularity,Img
81,4UXJsSlnKd7ltsrHebV79Q,Nick Cave & The Bad Seeds,"['art rock', 'permanent wave', 'rock']",69,"{'height': 640, 'url': 'https://i.scdn.co/image/3a6e7fe0e261be08d0a81e3cf7d9a2d334ada589', 'width': 640}"
82,36E7oYfz3LLRto6l2WmDcD,Pulp,"['alternative rock', 'art rock', 'britpop', 'dance rock', 'modern rock', 'new wave', 'permanent wave', 'pop rock', 'rock', 'sheffield indie']",62,"{'height': 1248, 'url': 'https://i.scdn.co/image/274a6b04d4086699f74f761b7932adf122c5619e', 'width': 1000}"
83,0EmeFodog0BfCgMzAIvKQp,Shakira,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",84,"{'height': 640, 'url': 'https://i.scdn.co/image/93e6b100a00437a05f57aa66ce41208811296fc8', 'width': 640}"
84,6GI52t8N5F02MxU0g5U69P,Santana,"['blues rock', 'classic rock', 'mexican classic rock', 'rock']",72,"{'height': 1000, 'url': 'https://i.scdn.co/image/e1bfc98896b3638caa59ef227d52fb1a2208375d', 'width': 1000}"
85,5fbhwqYYh4YwUoEs582mq5,The Spinners,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soft rock', 'soul', 'southern soul']",62,"{'height': 400, 'url': 'https://i.scdn.co/image/9c5f33797bb3d476c471ee218409b54caccd7c7e', 'width': 400}"
86,2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,"['art pop', 'dance pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",69,"{'height': 640, 'url': 'https://i.scdn.co/image/5cf9d8da44486967ad0654df402ba2ed30c22c21', 'width': 640}"
87,5GtMEZEeFFsuHY8ad4kOxv,Seal,"['british soul', 'pop rock', 'soft rock']",66,"{'height': 640, 'url': 'https://i.scdn.co/image/f87ba05c9d8fde9366c092730b169729b7fd2c93', 'width': 640}"
88,42TFhl7WlMRXiNqzSrnzPL,Lou Reed,"['art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'psychedelic rock', 'rock', 'singer-songwriter']",67,"{'height': 1006, 'url': 'https://i.scdn.co/image/2e1e9a6fe696b536a1f9e6a27fc1ed23d2c97099', 'width': 1000}"
89,3Ovf2lytXSXWFM2cwsJACC,Lead Belly,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'folk', 'texas blues', 'traditional blues', 'traditional folk']",45,"{'height': 1175, 'url': 'https://i.scdn.co/image/249a0102184b63169aa476d3df2125b197c3523f', 'width': 911}"
90,4oPdx1lKhpEdS3gllgUPeT,Panpipes,[],19,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273db556ec7712c1cfcccd2e4a3', 'width': 640}"
91,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,"['dance pop', 'pop', 'r&b', 'urban contemporary']",87,"{'height': 640, 'url': 'https://i.scdn.co/image/d711c5608bbcbccacfccd314ebb76af3315f9ada', 'width': 640}"
92,0kbYTNQb4Pb1rPbbaF0pT4,Miles Davis,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']",66,"{'height': 1000, 'url': 'https://i.scdn.co/image/423e826b3c1b23930a255d7cbc2daf733f795507', 'width': 1000}"
93,5xLSa7l4IV1gsQfhAMvl0U,B.B. King,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",66,"{'height': 1259, 'url': 'https://i.scdn.co/image/ffb3ff26238fe635a230bb0feb59dd0a5b209b6f', 'width': 1000}"
94,3RNrq3jvMZxD9ZyoOZbQOD,Korn,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",75,"{'height': 640, 'url': 'https://i.scdn.co/image/2277b8f0ae9316fd9572830763df39531fd224b8', 'width': 640}"
95,4S9EykWXhStSc15wEx8QFK,Céline Dion,"['canadian pop', 'dance pop']",78,"{'height': 640, 'url': 'https://i.scdn.co/image/3d579310822dcb55dc814b7bde9cd40c9c203fb3', 'width': 640}"
96,3CkvROUTQ6nRi9yQOcsB50,Genesis,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",70,"{'height': 693, 'url': 'https://i.scdn.co/image/c42f3ed56e0eb156b63526faf69dd7dcd8ede34a', 'width': 1000}"
